[5.05, 5.15] [3.45, 3.55] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.85, 4.95] [2.95, 3.05] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.15, 3.25] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.05, 3.15] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.95, 5.05] [3.55, 3.65] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.35, 5.45] [3.85, 4.4] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.35, 3.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.95, 5.05] [3.35, 3.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [2.85, 2.95] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.85, 4.95] [3.05, 3.15] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.35, 5.45] [3.65, 3.75] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.35, 3.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [2.95, 3.05] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [2.95, 3.05] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.75, 5.85] [3.85, 4.4] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.65, 5.75] [3.85, 4.4] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.35, 5.45] [3.85, 4.4] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.05, 5.15] [3.45, 3.55] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.65, 5.75] [3.75, 3.85] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.05, 5.15] [3.75, 3.85] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.35, 5.45] [3.35, 3.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.05, 5.15] [3.65, 3.75] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.55, 3.65] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.05, 5.15] [3.25, 3.35] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.35, 3.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.95, 5.05] [2.95, 3.05] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.95, 5.05] [3.35, 3.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.15, 5.25] [3.45, 3.55] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.15, 5.25] [3.35, 3.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.15, 3.25] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.05, 3.15] [1, 2.95] [0.1, 0.95] Iris-setosa 
