ID,parents,has_nurs,form,children,housing,finance,social,health,class
1,usual,proper,complete,1,convenient,convenient,nonprob,recommended,recommend
2,usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
3,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
4,usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,recommend
5,usual,proper,complete,1,convenient,convenient,slightly_prob,priority,priority
6,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recom
7,usual,proper,complete,1,convenient,convenient,problematic,recommended,priority
8,usual,proper,complete,1,convenient,convenient,problematic,priority,priority
9,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
10,usual,proper,complete,1,convenient,inconv,nonprob,recommended,very_recom
11,usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
12,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
13,usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,very_recom
14,usual,proper,complete,1,convenient,inconv,slightly_prob,priority,priority
15,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recom
16,usual,proper,complete,1,convenient,inconv,problematic,recommended,priority
17,usual,proper,complete,1,convenient,inconv,problematic,priority,priority
18,usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recom
19,usual,proper,complete,1,less_conv,convenient,nonprob,recommended,very_recom
20,usual,proper,complete,1,less_conv,convenient,nonprob,priority,priority
21,usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,not_recom
22,usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,very_recom
23,usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,priority
24,usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
25,usual,proper,complete,1,less_conv,convenient,problematic,recommended,priority
26,usual,proper,complete,1,less_conv,convenient,problematic,priority,priority
27,usual,proper,complete,1,less_conv,convenient,problematic,not_recom,not_recom
28,usual,proper,complete,1,less_conv,inconv,nonprob,recommended,very_recom
29,usual,proper,complete,1,less_conv,inconv,nonprob,priority,priority
30,usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,not_recom
31,usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,very_recom
32,usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,priority
33,usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
34,usual,proper,complete,1,less_conv,inconv,problematic,recommended,priority
35,usual,proper,complete,1,less_conv,inconv,problematic,priority,priority
36,usual,proper,complete,1,less_conv,inconv,problematic,not_recom,not_recom
37,usual,proper,complete,1,critical,convenient,nonprob,recommended,very_recom
38,usual,proper,complete,1,critical,convenient,nonprob,priority,priority
39,usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recom
40,usual,proper,complete,1,critical,convenient,slightly_prob,recommended,very_recom
41,usual,proper,complete,1,critical,convenient,slightly_prob,priority,priority
42,usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recom
43,usual,proper,complete,1,critical,convenient,problematic,recommended,priority
44,usual,proper,complete,1,critical,convenient,problematic,priority,priority
45,usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recom
46,usual,proper,complete,1,critical,inconv,nonprob,recommended,very_recom
47,usual,proper,complete,1,critical,inconv,nonprob,priority,priority
48,usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recom
49,usual,proper,complete,1,critical,inconv,slightly_prob,recommended,very_recom
50,usual,proper,complete,1,critical,inconv,slightly_prob,priority,priority
51,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
52,usual,proper,complete,1,critical,inconv,problematic,recommended,priority
53,usual,proper,complete,1,critical,inconv,problematic,priority,priority
54,usual,proper,complete,1,critical,inconv,problematic,not_recom,not_recom
55,usual,proper,complete,2,convenient,convenient,nonprob,recommended,very_recom
56,usual,proper,complete,2,convenient,convenient,nonprob,priority,priority
57,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,not_recom
58,usual,proper,complete,2,convenient,convenient,slightly_prob,recommended,very_recom
59,usual,proper,complete,2,convenient,convenient,slightly_prob,priority,priority
60,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
61,usual,proper,complete,2,convenient,convenient,problematic,recommended,priority
62,usual,proper,complete,2,convenient,convenient,problematic,priority,priority
63,usual,proper,complete,2,convenient,convenient,problematic,not_recom,not_recom
64,usual,proper,complete,2,convenient,inconv,nonprob,recommended,very_recom
65,usual,proper,complete,2,convenient,inconv,nonprob,priority,priority
66,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recom
67,usual,proper,complete,2,convenient,inconv,slightly_prob,recommended,very_recom
68,usual,proper,complete,2,convenient,inconv,slightly_prob,priority,priority
69,usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,not_recom
70,usual,proper,complete,2,convenient,inconv,problematic,recommended,priority
71,usual,proper,complete,2,convenient,inconv,problematic,priority,priority
72,usual,proper,complete,2,convenient,inconv,problematic,not_recom,not_recom
73,usual,proper,complete,2,less_conv,convenient,nonprob,recommended,very_recom
74,usual,proper,complete,2,less_conv,convenient,nonprob,priority,priority
75,usual,proper,complete,2,less_conv,convenient,nonprob,not_recom,not_recom
76,usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,very_recom
77,usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,priority
78,usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,not_recom
79,usual,proper,complete,2,less_conv,convenient,problematic,recommended,priority
80,usual,proper,complete,2,less_conv,convenient,problematic,priority,priority
81,usual,proper,complete,2,less_conv,convenient,problematic,not_recom,not_recom
82,usual,proper,complete,2,less_conv,inconv,nonprob,recommended,very_recom
83,usual,proper,complete,2,less_conv,inconv,nonprob,priority,priority
84,usual,proper,complete,2,less_conv,inconv,nonprob,not_recom,not_recom
